agent,coefficient,intercept,bce_loss,average,p50,p50q0.100,p50q0.900,1-4 min,4-16 min,16-64 min,64-256 min,256-960 min,release_date
Claude 3.5 Haiku,-0.481851,-0.307533,0.458225,0.539474,0.642499,,,0.278689,0.310345,0.0,0.037037,0.0,
Claude 3.5 Sonnet (June 2024),-0.437474,0.086144,0.462491,0.594298,1.146242,,,0.508197,0.37931,0.0,0.037037,0.0,
Claude 3.5 Sonnet (Oct 2024),-0.321244,0.44742,0.5109,0.680288,2.625832,,,0.644068,0.368421,0.095238,0.125,0.0,
GPT 2,-0.328147,-4.588313,0.086135,0.02193,6.2e-05,,,0.0,0.0,0.0,0.0,0.0,
GPT 3,-0.557134,-2.241924,0.516047,0.397004,0.061468,,,0.0625,0.0,,,,
GPT 3.5,-0.504873,-1.128601,0.460996,0.412281,0.21236,,,0.114754,0.034483,0.0,0.0,0.0,
Gemini 2.5 Pro (June 2025),-0.433484,0.714416,0.410391,0.686404,3.134163,,,0.606557,0.551724,0.181818,0.0,0.0,
O3,-0.469191,0.764968,0.383734,0.692982,3.095984,,,0.721311,0.37931,0.030303,0.037037,0.0,
O4 Mini,-0.499977,0.472245,0.391662,0.655702,1.924568,,,0.491803,0.37931,0.030303,0.037037,0.0,
